ЖК;Тип Недвижимости;Тип квартиры;Площадь от;Этаж от;Цена до;кол-во по фильтру;адрес1;адрес2;адрес3;id;;;;;;;;
Grand View;новостройки;;;;;31;Петровский проспект, 24к2;Петровский проспект, 13Б;Ждановская улица, 41;1793259;;;;;;;;
Fusion;новостройки;;;;;13;Крапивный переулок, 4;Выборгская набережная, 47;улица Чапаева, 30;52743;;;;;;;;
Полис Приморский ;новостройки;1;;;3900000;4;Плесецкая улица, 10;Плесецкая улица, 16;Глухарская улица, 19;2236532;;;;;;;;
Полис Приморский ;новостройки;2;;;7800000;3;Плесецкая улица, 10;Плесецкая улица, 16;Глухарская улица, 20;2236526;;;;;;;;
Ветер перемен ;новостройки;ст;;15;2955000;6;Красносельское шоссе, 56к1;Красносельское шоссе, 54к3;Красносельское шоссе, 48;29217;;;;;;;;
Ветер перемен ;новостройки;1;;13;;3;Красносельское шоссе, 56к1;Красносельское шоссе, 54к4;Красносельское шоссе, 49;51186;;;;;;;;
Ветер перемен ;новостройки;2;;;;3;Красносельское шоссе, 56к1;Красносельское шоссе, 54к5;Красносельское шоссе, 50;51187;;;;;;;;
Ветер перемен ;новостройки;3;;13;;4;Красносельское шоссе, 56к1;Красносельское шоссе, 54к6;Красносельское шоссе, 51;1888847;;;;;;;;
Две столицы ;новостройки;;;;;2;Среднерогатская улица, 20;Среднерогатская улица, 14к1;Среднерогатская улица, 8к1;41911;;;;;;;;
CHKALOV;новостройки;ст;;;3000000;1;Старорусский проспект, 6;Вилеровский переулок, 6;Новгородский проспект, 6;72258;;;;;;;;
CHKALOV ;новостройки;1;;;3840000;16;Старорусский проспект, 6;Вилеровский переулок, 7;Новгородский проспект, 7;72258;;;;;;;;
CHKALOV ;новостройки;2;;;5710000;4;Старорусский проспект, 6;Вилеровский переулок, 8;Новгородский проспект, 8;72259;;;;;;;;
Морская Миля;новостройки;ст;;;4590000;10;проспект Маршала Жукова, 25к1;улица Маршала Казакова, 26;улица Маршала Казакова, 32;2976254;;;;;;;;
Морская Миля;новостройки;1;;;6360000;3;проспект Маршала Жукова, 25к1;улица Маршала Казакова, 26;улица Маршала Казакова, 32;2976421;;;;;;;;
